degree,symbol,meaning
337,岩の上に横たわっている十字架,殻に閉じこもる、強い信念、頑固、強情、孤立、倦怠
338,ラッパを吹く少女,別離、分裂、挫折、緊張、啓蒙、リスクへの備え、心霊的な危険
339,騎手,成功、チャンス、才能、独創性、行動力、自己実現
340,雲の上の飛行家,恵まれた才能、思考力、体力、精神力、エネルギッシュ
341,光を探し求める男性たち,テーマの発見と追求、一直線に進む、自己の願望
342,入会のための試験,ある程度の地位、地味な生活、ネガティブ体験の克服
343,博物館にある剣,リーダーシップ、カリスマ、逆境での強さ、社会的な地位と役割
344,狐の毛皮に身を包まれた女性,自己防衛、巧妙な戦略、優れた知恵、仲間思い
345,部下の訓練の準備をしている将校,激しい圧力、攻撃を受ける、暴力、事故、方向転換
346,霊感に満ちた流れ,芯の強さ、信念を貫く、忍耐、行動、カルマ的な妨害
347,復活祭の歩道,社会的な上昇、貴重な経験、過去との決別、自己確立
348,巨大なテント,能力の発展、技術の探求、説得力、集中力
349,弟子を指導する巨匠,指導者、高いアイデンティティ、立場の確立、安定した人生
350,夕食のために準備されたテーブル,安定志向、単調な生活、倦怠、忍耐、家族との絆
351,小さな白い羊と子供と中国人の使用人,純粋さ、創造力、思考力、孤独、抑圧、活躍、社会的リーダーシップ
352,シナイ山から新しい法則を携えて下りてくる男性,一般的な生活、精神的な成長、物質的な豊かさ、保護、退屈
353,心霊現象,霊能力、直感力、幻惑、裏切り、別れ、新たな状況
354,人が住んでいる島,相互依存、狭い環境、家族中心、集中力、単調
355,聖職者の追放,厳しいカルマ、浄化、理想主義、集中力、社会的な認知
356,影響を分ける新月,愛情問題の克服、人間関係の変化への対応、進路決定
357,収穫月,一時的な幸運、チャンス、文化、芸術、創作、自己確立
358,満月の下の肥沃な庭,社会的な責任、仕事の苦悩、プレッシャー、金銭的な問題、新たな生活
359,プリズム,使命の発見、人間関係の不和、分裂、自由、新たな方向性
360,巨大な顔の石像,明確な目標、自己の原点の追求、能力の発揮、死の時の光明
